Survey_ID,Username,iNat_ID,Year,Month,Park,Latitude,Longitude,Transect,Start_Time,Confidence,Species,Count_,FID
bw_2019_1_51,,10112,2019,5,"Dairy Farm Nature Park, Singapore",1.3640182018279892,103.77639770507812,DFNP2,13:10:00,4.0,Group Grass Yellows,4,10226
bw_2018_2_67,,10012,2018,9,"Pasir Ris Park, Singapore",1.3720587491989156,103.95268249511717,PRP3,09:40:00,3.0,Group Grass Yellows,4,10230
bw_2019_1_53,,10113,2019,5,"Bukit Batok Nature Park, Singapore",1.3473663330078125,103.76129150390625,BBNP2,15:30:00,3.0,Group Grass Yellows,2,10234
bw_2018_2_69,,10013,2018,9,"Tampines Eco-Green, Singapore",1.3639477491378762,103.94829559326172,TEG1,10:45:00,5.0,Group Grass Yellows,2,10238
bw_2018_2_70,,10014,2018,9,"Tampines Eco-Green, Singapore",1.3639477491378762,103.94829559326172,TEG2,11:15:00,3.0,Group Grass Yellows,5,10245
bw_2019_1_54,,10114,2019,5,"Bukit Batok Nature Park, Singapore",1.3473663330078125,103.76129150390625,BBNP3,15:30:00,3.0,Group Grass Yellows,1,10248
bw_2018_2_71,,10015,2018,9,"Pasir Ris Park, Singapore",1.3720587491989156,103.95268249511717,PRP3,14:28:00,3.0,Group Grass Yellows,1,10254
bw_2019_1_55,,10115,2019,5,"Jurong Central Park, Singapore",1.337793827056879,103.70785522460938,JCP1,11:05:00,4.0,Group Grass Yellows,3,10257
bw_2018_2_72,,10016,2018,9,"HortPark, Singapore",1.2791306972503744,103.79981994628906,HP1,10:40:00,3.0,Group Grass Yellows,7,10262
bw_2019_1_56,,10116,2019,5,"Jurong Central Park, Singapore",1.337793827056879,103.70785522460938,JCP2,11:30:00,4.0,Group Grass Yellows,1,10265
bw_2018_2_73,,10017,2018,9,"HortPark, Singapore",1.2791306972503744,103.79981994628906,HP2,09:20:00,5.0,Group Grass Yellows,4,10270
bw_2019_1_58,,10117,2019,5,"Changi Beach Park, Singapore",1.391286253929136,103.99054718017578,CBP1,12:34:00,5.0,Group Grass Yellows,1,10353
bw_2018_2_74,,10018,2018,9,"Choa Chu Kang Park, Singapore",1.3874864578247128,103.74742889404298,CCKP2,10:54:00,4.0,Group Grass Yellows,2,10354
bw_2019_1_59,,10118,2019,5,"Clementi Woods Park, Singapore",1.299697756767256,103.7676773071289,CWP1,10:31:00,4.0,Group Grass Yellows,3,10357
bw_2018_2_75,,10019,2018,9,"Choa Chu Kang Park, Singapore",1.3874864578247128,103.74742889404298,CCKP1,11:21:00,4.0,Group Grass Yellows,3,10358
bw_2019_1_61,,10119,2019,5,"Bedok Reservoir Park, Singapore",1.3413025140762223,103.92455291748047,BRP1,11:54:00,4.0,Group Grass Yellows,1,10360
bw_2018_2_76,,10020,2018,9,"Bukit Batok Nature Park, Singapore",1.3473663330078125,103.76129150390625,BBNP2,14:03:00,4.0,Group Grass Yellows,2,10363
bw_2019_1_63,,10120,2019,5,"Choa Chu Kang Park, Singapore",1.3874864578247128,103.74742889404298,CCKP2,12:30:00,4.0,Group Grass Yellows,7,10365
bw_2018_2_77,,10021,2018,9,"Bukit Batok Nature Park, Singapore",1.3473663330078125,103.76129150390625,BBNP3,14:35:00,4.0,Group Grass Yellows,2,10368
bw_2019_1_64,,10121,2019,5,"Choa Chu Kang Park, Singapore",1.3874864578247128,103.74742889404298,CCKP1,10:45:00,4.0,Group Grass Yellows,13,10370
bw_2018_2_79,,10022,2018,9,"Gardens by the Bay (East), Singapore",1.288160681724541,103.86985778808594,GBE5,12:50:00,4.0,Group Grass Yellows,1,10373
bw_2019_1_65,,10122,2019,5,"Woodlands Waterfront Park, Singapore",1.4530528783798224,103.78047943115234,WWP2,10:54:00,5.0,Group Grass Yellows,14,10375
bw_2019_1_66,,10123,2019,5,"Woodlands Waterfront Park, Singapore",1.4530528783798224,103.78047943115234,WWP1,10:36:00,5.0,Group Grass Yellows,2,10378
bw_2018_2_83,,10023,2018,9,"Pasir Ris Park, Singapore",1.3720587491989156,103.95268249511717,PRP1,10:20:00,5.0,Group Grass Yellows,1,10379
bw_2019_1_67,,10124,2019,5,"East Coast Park, Singapore",1.3007842302322405,103.91218566894531,ECP4,10:00:00,4.0,Group Grass Yellows,2,10381
bw_2018_2_85,,10024,2018,9,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG2,14:08:00,3.0,Group Grass Yellows,5,10383
bw_2019_1_68,,10125,2019,5,"East Coast Park, Singapore",1.3007842302322405,103.91218566894531,ECP1,14:00:00,4.0,Group Grass Yellows,6,10386
bw_2018_2_86,,10025,2018,9,"Sengkang Riverside Park, Singapore",1.3993142843246418,103.88487243652344,SRP1,09:30:00,5.0,Group Grass Yellows,2,10388
bw_2019_1_69,,10126,2019,5,"East Coast Park, Singapore",1.3007842302322405,103.91218566894531,ECP2,12:20:00,4.0,Group Grass Yellows,5,10391
bw_2018_2_87,,10026,2018,9,"Sengkang Riverside Park, Singapore",1.3993142843246418,103.88487243652344,SRP2,10:05:00,5.0,Group Grass Yellows,1,10393
bw_2019_1_70,,10127,2019,5,"Kranji Coastal Nature Park, Singapore",1.442604660987839,103.73515319824219,SBWR3,10:10:00,4.0,Group Grass Yellows,1,10396
bw_2018_2_93,,10027,2018,9,"Springleaf Nature Park, Singapore",1.4011344909668018,103.81854248046875,SLNP2,10:50:00,4.0,Group Grass Yellows,1,10398
bw_2019_1_74,,10128,2019,5,"Sungei Buloh Wetland Reserve, Singapore",1.4464304447174117,103.72340393066406,SBWR1,10:56:00,4.0,Group Grass Yellows,3,10401
bw_2018_2_96,,10028,2018,9,"Sungei Buloh Wetland Reserve, Singapore",1.4464304447174117,103.72340393066406,SBWR1,12:07:00,4.0,Group Grass Yellows,1,10403
bw_2019_1_75,,10129,2019,5,"Upper Seletar Reservoir Park, Singapore",1.399853110313423,103.8069381713867,USRP2,10:52:00,4.0,Group Grass Yellows,3,10406
bw_2019_1_10,,10029,2019,5,"Punggol Park, Singapore",1.377701401710503,103.89765930175781,PP2,13:08:00,5.0,Group Grass Yellows,2,10408
bw_2019_1_77,,10130,2019,5,"Tampines Eco-Green, Singapore",1.3639477491378762,103.94829559326172,TEG2,13:45:00,5.0,Group Grass Yellows,3,10411
bw_2019_1_100,,10030,2019,5,"Jurong Lake Gardens, Singapore",1.334849238395684,103.72645568847656,JLG3,12:23:00,5.0,Group Grass Yellows,4,10412
bw_2019_1_78,,10131,2019,5,"Tampines Eco-Green, Singapore",1.3639477491378762,103.94829559326172,TEG1,13:05:00,5.0,Group Grass Yellows,3,10415
bw_2019_1_84,,10133,2019,5,"West Coast Park, Singapore",1.2913602590560944,103.76665496826172,WCP1,09:45:00,3.0,Group Grass Yellows,1,10417
bw_2019_1_105,,10031,2019,5,"Punggol Waterway Park, Singapore",1.411137700080879,103.90446472167967,PWP1,10:05:00,5.0,Group Grass Yellows,2,10420
bw_2019_1_85,,10134,2019,5,"Telok Blangah Hill Park, Singapore",1.2788233757019014,103.8106689453125,TBHP2,10:50:00,3.0,Group Grass Yellows,1,10422
bw_2019_1_106,,10032,2019,5,"Punggol Waterway Park, Singapore",1.411137700080879,103.90446472167967,PWP2,09:30:00,4.0,Group Grass Yellows,5,10425
bw_2019_1_86,,10135,2019,5,"Telok Blangah Hill Park, Singapore",1.2788233757019014,103.8106689453125,TBHP3,10:00:00,3.0,Group Grass Yellows,1,10427
bw_2019_1_107,,10033,2019,5,"Springleaf Nature Park, Singapore",1.4011344909668018,103.81854248046875,SLNP1,10:20:00,3.0,Group Grass Yellows,1,10430
bw_2019_1_88,,10136,2019,5,"Gardens by the Bay (South), Singapore",1.2815682888030933,103.86361694335936,GBS7,11:10:00,5.0,Group Grass Yellows,1,10432
bw_2019_1_108,,10034,2019,5,"Springleaf Nature Park, Singapore",1.4011344909668018,103.81854248046875,SLNP2,09:40:00,3.0,Group Grass Yellows,3,10435
bw_2019_1_9,,10137,2019,5,"Punggol Park, Singapore",1.377701401710503,103.89765930175781,PP1,13:32:00,5.0,Group Grass Yellows,1,10437
bw_2019_1_109,,10035,2019,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG3,10:40:00,3.0,Group Grass Yellows,2,10440
bw_2019_1_90,,10138,2019,5,"Chestnut Nature Park, Singapore",1.3760246038436814,103.78107452392578,CNP2,11:10:00,4.0,Group Grass Yellows,2,10442
bw_2019_1_92,,10139,2019,5,"Pulau Ubin (South), Singapore",1.4125659465789786,103.95773315429688,PU3,12:17:00,3.0,Group Grass Yellows,1,10443
bw_2019_1_11,,10036,2019,5,"Windsor Nature Park, Singapore",1.3566265106201123,103.8214340209961,WNP2,14:30:00,4.0,Group Grass Yellows,3,10446
bw_2019_1_93,,10140,2019,5,"Pulau Ubin (South), Singapore",1.4125659465789786,103.95773315429688,PU2,11:39:00,3.0,Group Grass Yellows,18,10448
bw_2019_1_110,,10037,2019,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG2,12:26:00,4.0,Group Grass Yellows,6,10451
bw_2019_1_94,,10141,2019,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG4,10:09:00,4.0,Group Grass Yellows,7,10453
bw_2019_1_111,,10038,2019,5,"Labrador Nature Reserve, Singapore",1.2665094137191715,103.80206298828125,LNR1,10:35:00,3.0,Group Grass Yellows,4,10455
bw_2019_1_95,,10142,2019,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG1,09:50:00,4.0,Group Grass Yellows,14,10458
bw_2019_1_96,,10143,2019,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG2,09:53:00,2.0,Group Grass Yellows,7,10462
bw_2019_1_112,,10039,2019,5,"Labrador Nature Reserve, Singapore",1.2665094137191715,103.80206298828125,LNR2,11:15:00,3.0,Group Grass Yellows,2,10464
bw_2019_1_97,,10144,2019,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG3,09:18:00,4.0,Group Grass Yellows,2,10465
bw_2019_1_113,,10040,2019,5,"Zhenghua Nature Park, Singapore",1.3849039077758654,103.77431488037111,ZNP1,11:34:00,4.0,Group Grass Yellows,6,10468
bw_2019_1_98,,10145,2019,5,"HortPark, Singapore",1.2791306972503744,103.79981994628906,HP2,10:38:00,4.0,Group Grass Yellows,7,10469
bw_2019_1_114,,10041,2019,5,"Zhenghua Nature Park, Singapore",1.3849039077758654,103.77431488037111,ZNP2,11:14:00,4.0,Group Grass Yellows,1,10475
bw_2019_1_99,,10146,2019,5,"HortPark, Singapore",1.2791306972503744,103.79981994628906,HP1,11:23:00,4.0,Group Grass Yellows,12,10476
bw_2019_2_1,,10147,2019,9,"Bedok Town Park, Singapore",1.3354072570800744,103.92562103271484,BTP1,09:58:00,4.0,Group Grass Yellows,1,10482
bw_2019_1_116,,10042,2019,5,"Zhenghua Nature Park, Singapore",1.3849039077758654,103.77431488037111,ZP2,14:04:00,4.0,Group Grass Yellows,1,10483
bw_2019_2_104,,10148,2019,9,"Zhenghua Nature Park, Singapore",1.3849039077758654,103.77431488037111,ZNP1,09:55:00,5.0,Group Grass Yellows,1,10487
bw_2019_1_117,,10043,2019,5,"Jurong Lake Gardens, Singapore",1.334849238395684,103.72645568847656,JLG5,10:58:00,4.0,Group Grass Yellows,5,10490
bw_2019_2_105,,10149,2019,9,"Dairy Farm Nature Park, Singapore",1.3640182018279892,103.77639770507812,DFNP3,12:48:00,4.0,Group Grass Yellows,1,10494
bw_2019_1_118,,10044,2019,5,"Jurong Lake Gardens, Singapore",1.334849238395684,103.72645568847656,JLG4,10:32:00,5.0,Group Grass Yellows,1,10497
bw_2019_2_106,,10150,2019,9,"Dairy Farm Nature Park, Singapore",1.3640182018279892,103.77639770507812,DFNP2,11:53:00,4.0,Group Grass Yellows,3,10501
bw_2019_1_119,,10045,2019,5,"Admiralty Park, Singapore",1.4465534687042165,103.78065490722655,AP1,09:30:00,2.0,Group Grass Yellows,3,10504
bw_2019_2_107,,10151,2019,9,"Dairy Farm Nature Park, Singapore",1.3640182018279892,103.77639770507812,DFNP1,11:20:00,4.0,Group Grass Yellows,4,10508
bw_2019_1_12,,10046,2019,5,"Windsor Nature Park, Singapore",1.3566265106201123,103.8214340209961,WNP1,13:47:00,4.0,Group Grass Yellows,4,10513
bw_2019_2_108,,10152,2019,9,"Sengkang Riverside Park, Singapore",1.3993142843246418,103.88487243652344,SRP2,11:34:00,4.0,Group Grass Yellows,1,10515
bw_2019_1_121,,10047,2019,5,"Admiralty Park, Singapore",1.4465534687042165,103.78065490722655,AP3,11:20:00,2.0,Group Grass Yellows,3,10519
bw_2019_2_11,,10153,2019,9,"Bishan-Ang Mo Kio Park (Pond Gardens), Singapore",1.3634088039398191,103.84355926513672,BAMK2,10:15:00,4.0,Group Grass Yellows,1,10521
bw_2019_1_123,,10048,2019,5,"Pasir Ris Park, Singapore",1.3720587491989156,103.95268249511717,PRP1,10:05:00,4.0,Group Grass Yellows,3,10526
bw_2019_2_111,,10154,2019,9,"HortPark, Singapore",1.2791306972503744,103.79981994628906,HP2,11:15:00,5.0,Group Grass Yellows,2,10528
bw_2019_1_124,,10049,2019,5,"Pasir Ris Park, Singapore",1.3720587491989156,103.95268249511717,PRP4,11:14:00,4.0,Group Grass Yellows,15,10533
bw_2019_2_113,,10155,2019,9,"Macritchie Reservoir Park, Singapore",1.3447620868682948,103.82234954833984,MRP2,10:31:00,5.0,Group Grass Yellows,4,10535
bw_2019_1_126,,10050,2019,5,"Pearl's Hill City Park, Singapore",1.283800005912788,103.83975982666016,PHCP1,09:46:00,3.0,Group Grass Yellows,1,10540
bw_2019_2_115,,10156,2019,9,"Sengkang Riverside Park, Singapore",1.3993142843246418,103.88487243652344,SRP1,11:03:00,4.0,Group Grass Yellows,1,10542
bw_2019_1_127,,10051,2019,5,"Sengkang Riverside Park, Singapore",1.3993142843246418,103.88487243652344,SRP1,11:50:00,3.0,Group Grass Yellows,3,10546
bw_2019_2_122,,10157,2019,9,"Admiralty Park, Singapore",1.4465534687042165,103.78065490722655,AP2,10:01:00,4.0,Group Grass Yellows,1,10551
bw_2019_1_128,,10052,2019,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG5,12:18:00,4.0,Group Grass Yellows,1,10552
bw_2019_2_123,,10158,2019,9,"Admiralty Park, Singapore",1.4465534687042165,103.78065490722655,AP1,09:37:00,4.0,Group Grass Yellows,3,10557
bw_2019_1_129,,10053,2019,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG1,11:46:00,4.0,Group Grass Yellows,6,10559
bw_2019_2_125,,10159,2019,9,"HortPark, Singapore",1.2791306972503744,103.79981994628906,HP1,10:35:00,5.0,Group Grass Yellows,3,10564
bw_2019_1_130,,10054,2019,5,"Singapore Botanic Gardens, Singapore",1.3138396739959701,103.81591033935547,SBG4,11:11:00,4.0,Group Grass Yellows,3,10566
bw_2019_2_13,,10160,2019,9,"Bishan-Ang Mo Kio Park (River Plains), Singapore",1.3634088039398191,103.84355926513672,BAMK4,10:47:00,3.0,Group Grass Yellows,6,10571
bw_2019_1_131,,10055,2019,6,"Bishan-Ang Mo Kio Park (River Plains), Singapore",1.3634088039398191,103.84355926513672,BAMK4,15:34:00,5.0,Group Grass Yellows,5,10573
bw_2019_2_130,,10161,2019,9,"Pulau Ubin (South), Singapore",1.4125659465789786,103.95773315429688,PU2,10:40:00,3.0,Group Grass Yellows,2,10578
bw_2019_2_131,,10162,2019,9,"Ang Mo Kio Town Garden West, Singapore",1.3741468191146948,103.84302520751953,ATGW2,11:28:00,4.0,Group Grass Yellows,6,10579
bw_2019_2_132,,10163,2019,9,"Ang Mo Kio Town Garden East, Singapore",1.3709168434143124,103.85012054443361,ATGE1,10:07:00,4.0,Group Grass Yellows,4,10580
bw_2019_2_133,,10164,2019,9,"Zhenghua Nature Park, Singapore",1.3849039077758654,103.77431488037111,ZP2,10:15:00,4.0,Group Grass Yellows,2,10581
bw_2019_2_134,,10165,2019,9,"Choa Chu Kang Park, Singapore",1.3874864578247128,103.74742889404298,CCKP2,10:30:00,4.0,Group Grass Yellows,1,10582
bw_2019_2_135,,10166,2019,9,"Choa Chu Kang Park, Singapore",1.3874864578247128,103.74742889404298,CCKP1,09:56:00,4.0,Group Grass Yellows,5,10583
bw_2019_2_136,,10167,2019,9,"Zhenghua Nature Park, Singapore",1.3849039077758654,103.77431488037111,ZP1,10:45:00,5.0,Group Grass Yellows,2,10584
bw_2019_2_137,,10168,2019,9,"Bedok Reservoir Park, Singapore",1.3413025140762223,103.92455291748047,BRP1,12:25:00,4.0,Group Grass Yellows,5,10585
bw_2019_2_138,,10169,2019,9,"Bedok Reservoir Park, Singapore",1.3413025140762223,103.92455291748047,BRP2,11:30:00,4.0,Group Grass Yellows,2,10586
bw_2019_2_139,,10170,2019,9,"Pulau Ubin (South), Singapore",1.4125659465789786,103.95773315429688,PU2,10:30:00,4.0,Group Grass Yellows,5,10587
bw_2019_2_14,,10171,2019,9,"Bishan-Ang Mo Kio Park (River Plains), Singapore",1.3634088039398191,103.84355926513672,BAMK3,11:20:00,4.0,Group Grass Yellows,11,10588
bw_2019_2_140,,10172,2019,9,"Pulau Ubin (South), Singapore",1.4125659465789786,103.95773315429688,PU1,13:00:00,4.0,Group Grass Yellows,7,10589
bw_2019_2_144,,10173,2019,9,"Lower Seletar Reservoir Park, Singapore",1.4101641178131152,103.83243560791016,LSRP2,14:55:00,4.0,Group Grass Yellows,3,10590
bw_2019_2_145,,10174,2019,9,"Lower Seletar Reservoir Park, Singapore",1.4101641178131152,103.83243560791016,LSRP1,14:19:00,4.0,Group Grass Yellows,1,10591
bw_2019_2_146,,10175,2019,9,"Ang Mo Kio Town Garden East, Singapore",1.3709168434143124,103.85012054443361,ATGE1,11:17:00,5.0,Group Grass Yellows,2,10592
bw_2019_2_147,,10176,2019,9,"Ang Mo Kio Town Garden West, Singapore",1.3741468191146948,103.84302520751953,ATGW2,10:20:00,5.0,Group Grass Yellows,2,10593
bw_2019_2_149,,10177,2019,9,"Punggol Waterway Park, Singapore",1.411137700080879,103.90446472167967,PWP1,14:00:00,2.0,Group Grass Yellows,2,10594
bw_2019_2_150,,10178,2019,9,"Telok Blangah Hill Park, Singapore",1.2788233757019014,103.8106689453125,TBHP3,11:00:00,4.0,Group Grass Yellows,1,10595
bw_2019_1_132,,10056,2019,6,"Bishan-Ang Mo Kio Park (River Plains), Singapore",1.3634088039398191,103.84355926513672,BAMK3,15:22:00,5.0,Group Grass Yellows,3,10619
bw_2019_1_134,,10057,2019,5,"Pulau Ubin (South), Singapore",1.4125659465789786,103.95773315429688,PU3,11:08:00,3.0,Group Grass Yellows,1,10623
bw_2019_1_135,,10058,2019,5,"Pulau Ubin (South), Singapore",1.4125659465789786,103.95773315429688,PU2,10:10:00,3.0,Group Grass Yellows,5,10626
bw_2019_1_136,,10059,2019,6,"Bishan-Ang Mo Kio Park (Pond Gardens), Singapore",1.3634088039398191,103.84355926513672,BAMK2,13:40:00,5.0,Group Grass Yellows,2,10629
bw_2019_1_137,,10060,2019,6,"Ang Mo Kio Town Garden East, Singapore",1.3709168434143124,103.85012054443361,ATGE1,11:40:00,4.0,Group Grass Yellows,15,10632
bw_2019_1_138,,10061,2019,6,"Ang Mo Kio Town Garden West, Singapore",1.3741468191146948,103.84302520751953,ATGW1,10:30:00,4.0,Group Grass Yellows,3,10635
bw_2019_1_139,,10062,2019,6,"Ang Mo Kio Town Garden West, Singapore",1.3741468191146948,103.84302520751953,ATGW2,09:45:00,4.0,Group Grass Yellows,7,10641
bw_2019_1_14,,10063,2019,5,"West Coast Park, Singapore",1.2913602590560944,103.76665496826172,WCP2,12:01:00,2.0,Group Grass Yellows,3,10647
bw_2019_1_140,,10064,2019,5,"Sungei Buloh Wetland Reserve, Singapore",1.4464304447174117,103.72340393066406,SBWR1,12:07:00,3.0,Group Grass Yellows,3,10653
